"name","url"
"Eckler, A. Ross Jr.","https://en.wikipedia.org/wiki/A._Ross_Eckler,_Jr."
"Eden, Sir Frederick","https://en.wikipedia.org/wiki/Sir_Frederick_Eden,_2nd_Baronet"
"Edgeworth, Francis Ysidro","https://en.wikipedia.org/wiki/Francis_Ysidro_Edgeworth"
"Edwards, A. W. F.","https://en.wikipedia.org/wiki/A._W._F._Edwards"
"Efron, Bradley","https://en.wikipedia.org/wiki/Bradley_Efron"
"Eisenhart, Churchill","https://en.wikipedia.org/wiki/Churchill_Eisenhart"
"Elderton, Ethel M.","https://en.wikipedia.org/wiki/Ethel_M._Elderton"
"Elderton, William Palin","https://en.wikipedia.org/wiki/William_Palin_Elderton"
"Elston, Robert C.","https://en.wikipedia.org/wiki/Robert_C._Elston"
"Engel, Ernst","https://en.wikipedia.org/wiki/Ernst_Engel"
"Engle, Robert F.","https://en.wikipedia.org/wiki/Robert_F._Engle"
"Erlang, A. K.","https://en.wikipedia.org/wiki/Agner_Krarup_Erlang"
"Erritt, John","https://en.wikipedia.org/wiki/John_Erritt"
"Ezekiel, Mordecai","https://en.wikipedia.org/wiki/Mordecai_Ezekiel"
"Fabri, Johann Ernst","https://en.wikipedia.org/wiki/Johann_Ernst_Fabri"
"Fallati, Johannes","https://en.wikipedia.org/wiki/Johannes_Fallati"
"Fan, Jianqing","https://en.wikipedia.org/wiki/Jianqing_Fan"
"Farr, William","https://en.wikipedia.org/wiki/William_Farr"
"Farrer, Thomas","https://en.wikipedia.org/wiki/Thomas_Farrer,_1st_Baron_Farrer"
"Fechner, Gustav","https://en.wikipedia.org/wiki/Gustav_Fechner"
"Fellegi, Ivan","https://en.wikipedia.org/wiki/Ivan_Fellegi"
"Feller, William","https://en.wikipedia.org/wiki/William_Feller"
"Fernique, Xavier","https://en.wikipedia.org/wiki/Xavier_Fernique"
"Fienberg, Stephen","https://en.wikipedia.org/wiki/Stephen_Fienberg"
"Finetti, Bruno de","https://en.wikipedia.org/wiki/Bruno_de_Finetti"
"Finlaison, John","https://en.wikipedia.org/wiki/John_Finlaison_(Finlayson)"
"Finney, D. J.","https://en.wikipedia.org/wiki/D._J._Finney"
"Fisher, Irving","https://en.wikipedia.org/wiki/Irving_Fisher"
"Fisher, Sir Ronald A.","https://en.wikipedia.org/wiki/Ronald_Fisher"
"Fleetwood, William","https://en.wikipedia.org/wiki/William_Fleetwood"
"Fleiss, Joseph L.","https://en.wikipedia.org/wiki/Joseph_L._Fleiss"
"Flux, A. William","https://en.wikipedia.org/wiki/A._William_Flux"
"Foot, David","https://en.wikipedia.org/wiki/David_Foot_(economist)"
"Fowler, Henry","https://en.wikipedia.org/wiki/Henry_Fowler,_1st_Viscount_Wolverhampton"
"Fox, John","https://en.wikipedia.org/wiki/John_Fox_(statistician)"
"Frankel, Lester","https://en.wikipedia.org/wiki/Lester_Frankel"
"Franscini, Stefano","https://en.wikipedia.org/wiki/Stefano_Franscini"
"Freedman, David A.","https://en.wikipedia.org/wiki/David_A._Freedman_(statistician)"
"Freedman, Ronald","https://en.wikipedia.org/wiki/Ronald_Freedman"
"Friedman, Milton","https://en.wikipedia.org/wiki/Milton_Friedman"
"Frigessi, Arnoldo di Rattalma","https://en.wikipedia.org/wiki/Arnoldo_Frigessi"
"Gain, Anil Kumar","https://en.wikipedia.org/wiki/Anil_Kumar_Gain"
"Gallant, A. Ronald","https://en.wikipedia.org/wiki/A._Ronald_Gallant"
"Gallup, George","https://en.wikipedia.org/wiki/George_Gallup"
"Galton, Francis","https://en.wikipedia.org/wiki/Francis_Galton"
"Gauquelin, Michel","https://en.wikipedia.org/wiki/Michel_Gauquelin"
"Geary, Roy C.","https://en.wikipedia.org/wiki/Roy_C._Geary"
"Geisser, Seymour","https://en.wikipedia.org/wiki/Seymour_Geisser"
"Geman, Donald","https://en.wikipedia.org/wiki/Donald_Geman"
"Ghosh, Jayanta Kumar","https://en.wikipedia.org/wiki/Jayanta_Kumar_Ghosh"
"Ghysels, Eric","https://en.wikipedia.org/wiki/Eric_Ghysels"
"Giblin, Lyndhurst","https://en.wikipedia.org/wiki/Lyndhurst_Giblin"
"Giffen, Robert","https://en.wikipedia.org/wiki/Robert_Giffen"
"Gill, Richard D.","https://en.wikipedia.org/wiki/Richard_D._Gill"
"Gini, Corrado","https://en.wikipedia.org/wiki/Corrado_Gini"
"Glass, David","https://en.wikipedia.org/wiki/David_Glass_(sociologist)"
"Glass, Gene V.","https://en.wikipedia.org/wiki/Gene_V._Glass"
"Goldman, Samuel","https://en.wikipedia.org/wiki/Samuel_Goldman"
"Goldstein, Harvey","https://en.wikipedia.org/wiki/Harvey_Goldstein"
"Gompertz, Benjamin","https://en.wikipedia.org/wiki/Benjamin_Gompertz"
"Good, I. J.","https://en.wikipedia.org/wiki/I._J._Good"
"Good, Phillip","https://en.wikipedia.org/wiki/Phillip_Good"
"Goodnight, James","https://en.wikipedia.org/wiki/James_Goodnight"
"Goschen, George","https://en.wikipedia.org/wiki/George_Goschen,_1st_Viscount_Goschen"
"Gosset, William Sealy","https://en.wikipedia.org/wiki/William_Sealy_Gosset"
"Granger, Clive","https://en.wikipedia.org/wiki/Clive_Granger"
"Graunt, John","https://en.wikipedia.org/wiki/John_Graunt"
"Gray, Mary W.","https://en.wikipedia.org/wiki/Mary_W._Gray"
"Grebenik, Eugene","https://en.wikipedia.org/wiki/Eugene_Grebenik"
"Green, Peter","https://en.wikipedia.org/wiki/Peter_Green_(statistician)"
"Greenland, Sander","https://en.wikipedia.org/wiki/Sander_Greenland"
"Greenwood, Major","https://en.wikipedia.org/wiki/Major_Greenwood"
"Griffiths, Robert","https://en.wikipedia.org/wiki/Robert_Griffiths_(mathematician)"
"Griliches, Zvi","https://en.wikipedia.org/wiki/Zvi_Griliches"
"Grimmett, Geoffrey","https://en.wikipedia.org/wiki/Geoffrey_Grimmett"
"Guerry, André-Michel","https://en.wikipedia.org/wiki/Andr%C3%A9-Michel_Guerry"
"Gumbel, Emil Julius","https://en.wikipedia.org/wiki/Emil_Julius_Gumbel"
"Guttman, Louis","https://en.wikipedia.org/wiki/Louis_Guttman"
"Guy, William","https://en.wikipedia.org/wiki/William_Guy"
"Gy, Pierre","https://en.wikipedia.org/wiki/Pierre_Gy"
"Haberman, Steven","https://en.wikipedia.org/wiki/Steven_Haberman"
"Hájek, Jaroslav","https://en.wikipedia.org/wiki/Jaroslav_H%C3%A1jek"
"Hajnal, John","https://en.wikipedia.org/wiki/John_Hajnal"
"Hald, Anders","https://en.wikipedia.org/wiki/Anders_Hald"
"Hastie, Trevor","https://en.wikipedia.org/wiki/Trevor_Hastie"
"Hall, Peter Gavin","https://en.wikipedia.org/wiki/Peter_Gavin_Hall"
"Halmos, Paul","https://en.wikipedia.org/wiki/Paul_Halmos"
"Hamilton, Lord George","https://en.wikipedia.org/wiki/Lord_George_Hamilton"
"Hand, David","https://en.wikipedia.org/wiki/David_Hand_(statistician)"
"Hardin, Garrett","https://en.wikipedia.org/wiki/Garrett_Hardin"
"Harris, Ted","https://en.wikipedia.org/wiki/Ted_Harris_(mathematician)"
"Hartley, Herman Otto","https://en.wikipedia.org/wiki/Herman_Otto_Hartley"
"Hayter, Henry Heylyn","https://en.wikipedia.org/wiki/Henry_Heylyn_Hayter"
"Healy, Michael","https://en.wikipedia.org/wiki/Michael_Healy_(statistician)"
"Hedges, Larry V.","https://en.wikipedia.org/wiki/Larry_V._Hedges"
"Hein, Jotun","https://en.wikipedia.org/wiki/Jotun_Hein"
"Helmert, Friedrich Robert","https://en.wikipedia.org/wiki/Friedrich_Robert_Helmert"
"Henderson, Charles Roy","https://en.wikipedia.org/wiki/Charles_Roy_Henderson"
"Heyde, Chris","https://en.wikipedia.org/wiki/Chris_Heyde"
"Hibbert, Sir Jack","https://en.wikipedia.org/wiki/Jack_Hibbert"
"Hickman, James C.","https://en.wikipedia.org/wiki/James_C._Hickman"
"Hilbe, Joseph","https://en.wikipedia.org/wiki/Joseph_Hilbe"
"Hill, Austin Bradford","https://en.wikipedia.org/wiki/Austin_Bradford_Hill"
"Hill, Joseph Adna","https://en.wikipedia.org/wiki/Joseph_Adna_Hill"
"Hinkley, David V.","https://en.wikipedia.org/wiki/David_V._Hinkley"
"Hjort, Nils Lid","https://en.wikipedia.org/wiki/Nils_Lid_Hjort"
"Hoeffding, Wassily","https://en.wikipedia.org/wiki/Wassily_Hoeffding"
"Hoem, Jan","https://en.wikipedia.org/wiki/Jan_Hoem"
"Hollander, Myles","https://en.wikipedia.org/wiki/Myles_Hollander"
"Hollerith, Herman","https://en.wikipedia.org/wiki/Herman_Hollerith"
"Holmes, Chris","https://en.wikipedia.org/wiki/Chris_Holmes_(mathematician)"
"Holmes, Susan","https://en.wikipedia.org/wiki/Susan_P._Holmes"
"Holt, Tim","https://en.wikipedia.org/wiki/Tim_Holt_(statistician)"
"Holtsmark, Gabriel Gabrielsen","https://en.wikipedia.org/wiki/Gabriel_Gabrielsen_Holtsmark"
"Hogben, Lancelot","https://en.wikipedia.org/wiki/Lancelot_Hogben"
"Hooker, Reginald Hawthorn","https://en.wikipedia.org/wiki/Reginald_Hawthorn_Hooker"
"Horn, Susan","https://en.wikipedia.org/wiki/Susan_Horn"
"Hotelling, Harold","https://en.wikipedia.org/wiki/Harold_Hotelling"
"Huff, Darrell","https://en.wikipedia.org/wiki/Darrell_Huff"
